,Unnamed: 0,age-bracket,req-text,req-text-clean,Age,glex1,glex2,glex3,c,c50,c5025,cmean,c75,c7525
0,34599,a43-xx,"Solicito os registro de reclamações feitas a esta ouvidoria, com relação a servidores, com dados de: Data da reclamação, Dados do reclamante (sexo, se é aluno, idade), tipo de reclamação(Assédio, injúria, etc) data das respostas, resultado final, punições aplicadas para os envolvidos (se foi o caso). O material que está disponibilizado na Internet não é suficiente. Período solicitado: 01/01/2000 até 01/06/2017.",solicito registro reclamações feitas ouvidoria relação servidores dados data reclamação dados reclamante sexo aluno idade tipo reclamaçãoassédio injúria etc data respostas resultado final punições aplicadas envolvidos caso material disponibilizado internet suficiente período solicitado 01012000 01062017,2,-0.31270697079719456,-0.057744694509040295,-1.074703571936634,2,2,-1,-1,-1,-1
1,23357,a17-30,"No estado do Amazonas, existem agências da previdência social que estão prontas, mas sem condições de entrar em funcionamento por falta de funcionários ou que estejam com sua capacidade operacional de atendimento comprometida por esse mesmo motivo?",estado amazonas existem agências previdência social prontas condições entrar funcionamento falta funcionários capacidade operacional atendimento comprometida motivo,0,-0.1534472158762313,1.151446585778484,1.1448521764779693,1,1,-1,1,-1,-1
6,5476,a17-30,"Olá, Estou realizando meu trabalho de conclusão de curso e estou estudando a eficácia das políticas habitacionais do Brasil. Solicito, se possível a quantidade de operações realizadas por ano dos programas Minha Casa Minha Vida e Programa de Subsídio a Habitação Agradeço desde já. Hamilcar.",olá realizando trabalho conclusão curso estudando eficácia políticas habitacionais brasil solicito possível quantidade operações realizadas ano programas casa vida programa subsídio habitação agradeço desde hamilcar,0,2.2742790265093737,3.164122493016141,1.419070971399425,0,0,0,0,0,0
10,3721,a43-xx,"Gostaria de solicitar dados do consumo de energia elétrica dos prédios da SECRETARIA DE PROMOÇÃO DE POLÍTICAS DE IGUALDADE RACIAL e SECRETARIA DE PLANEJAMENTO E FORMULAÇÃO DE POLÍTICAS - SEPPIR em Brasília, especificamente os dados de energia reativa excedente, na ponta e fora da ponta. E ainda, adicionalmente, o fator de potência e de carga das instalações.",gostaria solicitar dados consumo energia elétrica prédios secretaria promoção políticas igualdade racial secretaria planejamento formulação políticas seppir brasília especificamente dados energia reativa excedente ponta ponta ainda adicionalmente fator potência carga instalações,2,3.460561745319595,2.882652496396842,0.433025354446512,0,0,0,-1,-1,0
11,23181,a31-42,"Boa tarde, gostaria da quantidade de farmácias populares por município.",boa tarde gostaria quantidade farmácias populares município,1,0.9296485074168115,2.195695580124027,1.8107407295539963,0,0,0,0,-1,-1
13,971,a43-xx,"Prezado Sr. Geól. Paulo Ribeiro, segue comprovante do pagamento da multa correspondente ao Auto de Infração de 888/2010 - 3 - Distrito DNPM/MG, cujo pagamento foi efetuado na data de hoje, nos termos do boleto que vossa senhoria me enviou, assim, gostaria que desse baixa nesta cobrança. Desde já agradeço vossa simpática atenção. Saudações, Cesar Xavier Pires",prezado sr geól paulo ribeiro segue comprovante pagamento multa correspondente auto infração 8882010 3 distrito dnpmmg cujo pagamento efetuado data hoje termos boleto vossa senhoria enviou assim gostaria desse baixa nesta cobrança desde agradeço vossa simpática atenção saudações cesar xavier pires,2,-1.6862401007593404,-2.753545284128546,-3.208746362335088,2,2,2,2,2,2
15,19173,a17-30,"Prezado destinatário, Desde o ano de 2014 estudo na Universidade Metodista de Piracicaba, no Campus de Lins. Estou no 3ª ano, 6ª semestre de Direito no período noturno, uma vez que trabalho durante o dia. Desta forma, é com pesar que informo que minha faculdade encontra-se em momento de dificuldade financeira e, por esta razão, não há disponibilidade de recursos para nós estudantes. Em diversos momentos, há a dificuldade na obtenção de material atualizado sobre nossas leis, tanto a ponto de utilizarmos códigos já revogados. Sendo assim, peço encarecidamente do envio de uma cópia da Constituição Federal de 1988 para estudos e apreciação do texto constitucional. Agradeço enormemente ao destinatário deste pedido pela honrosa disponibilidade de tempo e atendimento.",prezado destinatário desde ano 2014 estudo universidade metodista piracicaba campus lins 3ª ano 6ª semestre direito período noturno vez trabalho durante dia desta forma pesar informo faculdade encontrase momento dificuldade financeira razão disponibilidade recursos estudantes diversos momentos dificuldade obtenção material atualizado sobre leis tanto ponto utilizarmos códigos revogados sendo assim peço encarecidamente envio cópia constituição federal 1988 estudos apreciação texto constitucional agradeço enormemente destinatário deste pedido honrosa disponibilidade tempo atendimento,0,-0.06537937019822876,0.6098084286250599,1.549208655333672,1,1,-1,-1,-1,-1
16,5098,a17-30,"Prezados, Gostaria de solicitar o seguinte: a) lista de classificação dos postos no exterior (creio que A, B, C e D e conforme tipo, embaixada, consulado etc.) b) quantitativo máximo de servidores (por categoria funcional) em cada posto c) quantitativo atual de servidores (por categoria funcional) em cada posto d) atribuição especifica (tema ou campo de atuação) de cada servidor em cada posto e) quantitativo de funcionários locais em cada posto, detalhado quanto a cargo ocupado (auxiliar, assistente etc.) Muito obrigado!",prezados gostaria solicitar seguinte lista classificação postos exterior creio b c d conforme tipo embaixada consulado etc b quantitativo máximo servidores categoria funcional cada posto c quantitativo atual servidores categoria funcional cada posto d atribuição especifica tema campo atuação cada servidor cada posto quantitativo funcionários locais cada posto detalhado quanto cargo ocupado auxiliar assistente etc obrigado,0,4.865189225505782,5.42431211665411,1.5113422891961505,0,0,0,0,0,0
18,9930,a17-30,"Olá, sou aluno da UFMT-Sinop, do curso de Eng. Florestal, e por meio de uma Discente que estagiou em uma agencia da Polícia Federal, gostaria de saber sobre procedimentos para candidatura à vagas, se elas ainda existem e quais pré-requisitos caso exista a possibilidade. att",olá aluno ufmtsinop curso eng florestal meio discente estagiou agencia polícia federal gostaria saber sobre procedimentos candidatura vagas ainda existem quais prérequisitos caso exista possibilidade att,0,1.5992022561472359,2.7120882506940234,0.9363376811859733,0,0,0,0,-1,0
23,7528,a43-xx,"Prezado(a)s, tenho acessado o SISTEMA SIPIA WEB para coleta de dados de violências contra crianças e adolescenetes, e tenho percebido problemas na recuperação das informações e incosistências no dados. Assim sendo venho oficialmente solicitar: a) Número total de violações ao direito VIDA / SAÚDE, BRASIL, cometidos por PAI e MÃE para os anos de 2009 a 2014, B) Número total de violações ao direito LIBERDADE / RESPEITO / DIGNIDADE, BRASIL, cometidos por PAI e MÃE para os anos de 2009 a 2014, C) Número total de violações ao direito CONVIVÊNCIA FAMILIAR / COMUNITÁRIA, BRASIL, cometidos por PAI e MÃE para os anos de 2009 a 2014, D) Número total de violações ao direito EDUCAÇÃO / CULTURA / ESPORTE, BRASIL, cometidos por PAI e MÃE para os anos de 2009 a 2014, E) Número total de violações ao direito PROFISSIONALIZAÇÃO / PROTEÇÃO TRABALHO, BRASIL, cometidos por PAI e MÃE para os anos de 2009 a 2014,",prezadoas acessado sistema sipia web coleta dados violências contra crianças adolescenetes percebido problemas recuperação informações incosistências dados assim sendo venho oficialmente solicitar número total violações direito vida saúde brasil cometidos pai mãe anos 2009 2014 b número total violações direito liberdade respeito dignidade brasil cometidos pai mãe anos 2009 2014 c número total violações direito convivência familiar comunitária brasil cometidos pai mãe anos 2009 2014 d número total violações direito educação cultura esporte brasil cometidos pai mãe anos 2009 2014 número total violações direito profissionalização proteção trabalho brasil cometidos pai mãe anos 2009 2014,2,1.9896363340137608,3.2893696312021805,1.3517963738036305,0,0,-1,-1,-1,-1
